id,reviews,starRatings
b78b8374-6a9e-4178-a748-70b7a4f114ba,"[{'id': '651f4c02-742b-4d13-8b53-573591defdf5', 'userID': '', 'starsGiven': 5, 'review': ""I ordered elegant wrist corsages intricately folded from fine Italian flower petals for my cousin's secret surprise legal elopement - planned by candlelight on summer solstice in a quiet seaside chapel she rented to finally marry her loving partner after years of delaying dream plans due to outside chaos derailing hopes repeatedly..Sadly shipping challenges meant they didn't arrive to embellish the occasion but forging their enduring bond brought overwhelming joy sustaining everything!  "", 'whenReviewed': '2020-08-25'}, {'id': '2d7599cb-0841-4340-97ad-cb2f94ee7136', 'userID': '', 'starsGiven': 5, 'review': ""I ordered a build your own bouquet formy wife's book club gathering to show offmy amateur arranging skills. While everyoneooh'd and aah'd over the lush blooms, mywifesmile meant the most. Maybe I have asecond career in flowers some day!"", 'whenReviewed': '2021-04-10'}, {'id': 'f0b5b02e-5a33-45c5-95a9-3ad6c0e05660', 'userID': '', 'starsGiven': 2, 'review': ""The flowers I ordered for Mother's Day were a hit! The mix of blooms and the thoughtfully arranged bouquet made for the perfect gift. My mom was delighted, and it added joy to her day."", 'whenReviewed': '2021-09-19'}, {'id': '7db0b8f7-116d-4956-8449-d41822d0d04d', 'userID': '', 'starsGiven': 0, 'review': ""The bouquet I ordered for a loved one's promotion was a hit! The flowers were fresh, the colors vibrant, and the arrangement added a touch of celebration to the occasion. Highly recommended for special events."", 'whenReviewed': '2021-10-27'}, {'id': '9e2fd289-42e9-442d-953e-a74ee0d211f1', 'userID': '', 'starsGiven': 1, 'review': 'The online ordering process was seamless, and the flowers I received were delightful. The blooms were fresh, and the arrangement reflected the attention to detail advertised on the website. A positive experience overall.', 'whenReviewed': '2020-07-02'}, {'id': 'ef4a4793-4031-4464-bed8-826e5a4acc4f', 'userID': '', 'starsGiven': 4, 'review': ""My parents just celebrated 50 years so I wanted to send lush red anniversary blooms despite being unable to attend the milestone event in person. However what arrived was utterly pitiful and cheap looking - wilted carnations and baby's breath more funeral than celebration. What a letdown!     "", 'whenReviewed': '2020-09-17'}, {'id': 'ae8db27a-c822-4fd4-81c5-7bd92cbb6fb0', 'userID': '', 'starsGiven': 4, 'review': 'The flowers I received were stunning, but they wilted within a day. Despite following care instructions, the bouquet did not last as long as expected. A bit disappointed with the longevity.', 'whenReviewed': '2021-12-14'}, {'id': '5bb50d13-4595-4758-9f3d-750062d9bcd4', 'userID': '', 'starsGiven': 3, 'review': ""I was tasked with ordering flower centerpieces for a dear friend's intimate wedding online to save on florist costs and was quite nervous about doing so! However when they arrived, even the bride was brought to happy tears by the exquisite garden roses, hydrangea and orchid arrangements! Her joy at the wedding eased my worries immensely."", 'whenReviewed': '2020-11-19'}]",4
95dde865-2ae6-4d5c-8dab-2e32bd9196c3,"[{'id': 'b1267b34-5469-4a75-bb3e-57372cbd382f', 'userID': '', 'starsGiven': 0, 'review': 'Terrible experience! The flowers received were completely different from what I ordered. The colors were off, and the arrangement was messy. Customer service was unresponsive. Will not be returning.', 'whenReviewed': '2020-06-25'}, {'id': '753ff8de-81cc-4fc0-a6b5-fc1e3ae2d454', 'userID': '', 'starsGiven': 3, 'review': ""This is more than just a review; it's a heartfelt expression of my sheer delight with the purchase of this product. The attention to detail is nothing short of extraordinary, and the functionality is a testament to the dedication of the designers. I feel a genuine sense of joy and contentment every time I interact with this product. Amazon, you have outdone yourselves, and I am immensely grateful for the positive impact this item has had on my life."", 'whenReviewed': '2020-11-13'}, {'id': 'fc79b032-cd5c-4c7c-8d3c-bfa7cafb3481', 'userID': '', 'starsGiven': 3, 'review': 'Poor quality flowers and misleading product images. The bouquet I received looked nothing like the vibrant arrangement shown online. False advertising and a waste of money.', 'whenReviewed': '2020-06-18'}, {'id': 'eb7fd537-2bcf-4612-932f-0c7aa9503c26', 'userID': '', 'starsGiven': 3, 'review': 'The flowers were a bit overpriced for the quality received. While the delivery was on time, the bouquet did not justify the cost. I expected more vibrant blooms and a more thoughtful arrangement.', 'whenReviewed': '2022-02-16'}, {'id': '6577e1b1-efe6-4a85-ae0a-a03bb8450edd', 'userID': '', 'starsGiven': 1, 'review': 'I took a gamble ordering bold tropical heliconia flowers online direct from Hawaiian farmers supporting struggling small businesses affected by the pandemic tourist halt. Not only are the gorgeous blooms thriving months later, the joy of giving back elicits smiles too!', 'whenReviewed': '2021-11-16'}, {'id': 'd59928dd-fc99-41fb-b545-eda761264ee8', 'userID': '', 'starsGiven': 0, 'review': 'My best friend was missing her dream wedding celebration so I attempted to order gorgeous bridal flowers from Florence as a kind quarantine gesture. Sadly shipment delays caused my good intentions to lay dead at the post office instead of eliciting joy. So disappointing!', 'whenReviewed': '2022-02-09'}, {'id': 'e8cdb166-9dbc-4107-a37f-7f6cf25923fb', 'userID': '', 'starsGiven': 3, 'review': 'The flowers I ordered for a sympathy gesture were elegant and tasteful. The delivery was timely, and the arrangement conveyed the sentiment perfectly. Grateful for the thoughtful service during a difficult time.', 'whenReviewed': '2021-02-18'}, {'id': '4da39dcc-57c6-45d7-a27c-f2f6ace2f6dd', 'userID': '', 'starsGiven': 2, 'review': ""I attempted to order elegant handmade paper bridal bouquets intricately folded from natural plant fibers by acclaimed Florence artisans as surprises for my sister's passion project desert elopement ceremony after her original wedding plans were derailed repeatedly by COVID uncertainty and chaos...Sadly shipping barriers meant they never arrived for my sister's impromptu legal union meant to finally elicit joy after years of ongoing disappointment beyond her control..."", 'whenReviewed': '2021-02-16'}]",4
b49204e2-f159-404c-9d4e-ae54b08359d0,"[{'id': 'bf6c0f23-99d1-4782-9462-3ea5edb918af', 'userID': '', 'starsGiven': 5, 'review': 'I sent a lush golden bouquet to my elderly aunt and she absolutely loved it! She said it made her feel so special. The roses lasted over two weeks too. Fantastic value and quality.', 'whenReviewed': '2021-08-05'}, {'id': '2ba3a80b-727d-4a4d-9634-18a1e190fd95', 'userID': '', 'starsGiven': 4, 'review': ""My best friend's dog recently passed so I rushed same day delivery of the small 'Furever in My Heart' pet loss flower sympathy bouquet without a second thought. A small gesture but she was so grateful for the thoughtfulness in her time of sorrow. It's the little things..."", 'whenReviewed': '2021-04-14'}, {'id': 'aa20dbdd-0c69-4a47-8c36-a9079e1df051', 'userID': '', 'starsGiven': 3, 'review': ""The flowers I received were breathtaking! The arrangement was a work of art, and the blooms were fresh and fragrant. It made for a perfect surprise, and I couldn't be happier with the choice."", 'whenReviewed': '2021-07-14'}, {'id': '2232fbc2-26d7-4ddb-ba21-164fd88e00e6', 'userID': '', 'starsGiven': 4, 'review': 'Disappointed with the bouquet I ordered. The flowers looked wilted and not as advertised. The delivery was also delayed, impacting the overall experience. Expected better quality for the price paid.', 'whenReviewed': '2021-11-11'}, {'id': '4cd91202-d56e-45f4-90e7-33b305f73bbb', 'userID': '', 'starsGiven': 0, 'review': 'The flowers I ordered for a graduation celebration were fantastic! The arrangement was festive and celebratory, and the delivery was on time. A great experience that added joy to the occasion.', 'whenReviewed': '2021-06-18'}, {'id': '4a3a0b99-2beb-425f-818f-6df542a8c156', 'userID': '', 'starsGiven': 4, 'review': ""I ordered monthly flowers from Florence for my girlfriend's care package to surprise her while I worked overseas. Seeing fresh blooms elicited smiles during our video dates...until I mistakenly sent condolence lilies one month thinking they were her favorite Oriental varieties! That reveal made for quite an awkward call until we sorted the mix up amidst laughter & tears!"", 'whenReviewed': '2020-09-16'}, {'id': '064ec2dd-2109-4dee-b8da-da9ed3d75987', 'userID': '', 'starsGiven': 4, 'review': 'The bouquet I received was a disappointment. The flowers looked tired, and the arrangement lacked creativity. It did not match the elegance I associate with quality floral arrangements.', 'whenReviewed': '2021-10-24'}, {'id': 'ee3c45dd-d795-469c-a661-cfaa9583bedf', 'userID': '', 'starsGiven': 5, 'review': 'I ordered a simple green plant arrangement for my home office and was worried something fake might arrive. But the hardySUCCULENTS and an adorable cactus were REALand thriving! Months later I still smile at my cute little faux outdoor oasis while working long hours.', 'whenReviewed': '2022-01-28'}]",3
63c47918-6fc0-46e1-a5d4-e7cf2e870aee,"[{'id': 'b3661f0c-cea3-423b-a66a-456fb2ba1765', 'userID': '', 'starsGiven': 3, 'review': 'My best friend quarantining far away just secured her dream job so I ordered an exotic flower crown and bouquet painted in her favorite empowering colors with a sweet champagne bottle. Delivery updates stopped cold so sadly my celebratory surprise never made it to elicit her well deserved joy.', 'whenReviewed': '2020-07-03'}, {'id': '2c5156aa-0f5e-47cc-98b4-82eb6066da32', 'userID': '', 'starsGiven': 2, 'review': 'The flowers I received were subpar. The colors were dull, and the arrangement lacked creativity. It did not feel like a thoughtful gift, and I was disappointed with the overall presentation.', 'whenReviewed': '2021-01-13'}, {'id': '77a5fbc3-0913-424a-b426-5474e3180e96', 'userID': '', 'starsGiven': 3, 'review': 'The bouquet I received was not what I expected. The colors were muted, and some flowers looked wilted. It did not convey the vibrancy and freshness I associate with a quality floral arrangement.', 'whenReviewed': '2021-10-21'}, {'id': 'e9a09b0f-ef5d-4da1-8e15-443f74ceae4f', 'userID': '', 'starsGiven': 4, 'review': ""The flowers I ordered for Mother's Day were a hit! The mix of blooms and the thoughtfully arranged bouquet made for the perfect gift. My mom was delighted, and it added joy to her day."", 'whenReviewed': '2021-01-10'}, {'id': 'd3b2c8e1-6ec7-4422-9f48-8f593fe6edb0', 'userID': '', 'starsGiven': 4, 'review': ""I attempted to gift my Aunt elegant brooches intricately folded from fine Italian flower petals for her surprise intimate backyard milestone vow renewal - meant to be an epic worldwide anniversary trip halted by unforeseen chaos until her loving husband constructed an oasis at home instead to honor their enduing bond...Sadly shipping issues meant my gift didn't arrive for the occasion but reconnecting joyfully was celebration enough!"", 'whenReviewed': '2020-07-06'}, {'id': 'd4b0c0fc-a15e-4074-8f5f-289f72093fe8', 'userID': '', 'starsGiven': 1, 'review': ""Absolutely stunning flowers! I ordered a bouquet for my sister's graduation, and it was a showstopper. The colors, the freshness, and the overall presentation were exceptional. She loved it, and so did everyone who saw it."", 'whenReviewed': '2021-07-17'}, {'id': '13144717-17cc-4a50-bb75-331cdc44fe0c', 'userID': '', 'starsGiven': 2, 'review': 'My dear friend has been battling illness for awhile now and was preparing for an important surgery, so I ordered her several lush orchid arrangements in various shades to be delivered weekly to keep her spirits lifted in anticipation of the operation. She raved about how the unique blooms gave her strength and hope during an emotionally trying time. So the splurge was worth it.', 'whenReviewed': '2021-11-23'}, {'id': '28e2ab78-2cc5-4341-8973-30cf0918d657', 'userID': '', 'starsGiven': 2, 'review': 'I ordered monthly blooms from Florence for my homesick partner working overseas that elicited such happiness upon arriving in their empty apartment abroad...until I accidentally sent a somber funeral arrangement one month thinking they were festive holiday wreaths! Which made for quite an awkward video call before we cleared things up amidst bittersweet laughter over my mistake! ', 'whenReviewed': '2020-10-06'}]",3
a22bd4eb-2f1b-4b46-8c7f-429070e2dbaf,"[{'id': '0638a632-c4d0-47a1-a51f-dfcb5cb3fabc', 'userID': '', 'starsGiven': 5, 'review': 'My sister-in-law had to cancel her in-person wedding shower due to coronavirus so I attempted to order a beautiful bridal bouquet as a kind gesture to lift her spirits during uncertain times. However delivery disasters caused dead stems to lay at the post office instead. So frustrating!', 'whenReviewed': '2020-08-20'}, {'id': '5a8dcb61-2c84-45b2-91ab-85060705ef7a', 'userID': '', 'starsGiven': 5, 'review': ""Poor quality flowers and lackluster service. The bouquet I received was disappointing, and the delivery person was indifferent. Not worth the money spent. Won't be a repeat customer."", 'whenReviewed': '2021-07-12'}, {'id': 'abace203-6e59-4633-90b6-4eb2ffa29d25', 'userID': '', 'starsGiven': 3, 'review': 'The lavender and white anniversary bouquetfor my parents was splendid! Mom sent pics fromtheir anniversary dinner - the blooms made such an elegant centerpiece. So glad I couldcontribute from miles away!', 'whenReviewed': '2020-11-24'}, {'id': '6f064c8c-0c7f-4144-be35-3d1f010bbefc', 'userID': '', 'starsGiven': 2, 'review': 'My order was delivered to the wrong address, causing unnecessary stress. The customer service team was apologetic and offered a refund, but the mistake tarnished the overall experience.', 'whenReviewed': '2021-08-15'}, {'id': 'bea7f0b5-dee7-403b-87f5-5f158969d2fa', 'userID': '', 'starsGiven': 1, 'review': 'Ordered flowers for my anniversary, and they were absolutely gorgeous! The bouquet was a romantic blend of colors, and the freshness lasted for days. Thank you for adding a touch of beauty to our celebration.', 'whenReviewed': '2020-10-05'}, {'id': '1c4dd104-e955-4df9-85f8-6b9beebae97f', 'userID': '', 'starsGiven': 2, 'review': 'Received a bouquet with damaged flowers, and the arrangement seemed hastily put together. Contacted customer service, and they offered a replacement. While the issue was resolved, the initial disappointment was unfortunate.', 'whenReviewed': '2022-03-05'}, {'id': 'ea9a1b17-cd3f-46a1-b336-5b3ac428a1e2', 'userID': '', 'starsGiven': 3, 'review': 'Delighted with the flowers and service. The online selection was diverse, and the flowers were delivered on time. The bouquet exceeded expectations, and the recipient was thrilled. A fantastic floral experience.', 'whenReviewed': '2021-03-29'}, {'id': '9d79ccff-8e68-4b5b-916b-eae0050b6f20', 'userID': '', 'starsGiven': 2, 'review': 'Disappointed with the bouquet I ordered. The flowers looked wilted and not as advertised. The delivery was also delayed, impacting the overall experience. Expected better quality for the price paid.', 'whenReviewed': '2021-06-11'}]",0
1d64b0dd-0705-4420-9742-fd61d7ce45e9,"[{'id': 'ab31897b-7e6a-4864-9e48-818363507b6e', 'userID': '', 'starsGiven': 5, 'review': 'My favorite vivacious Aunt was turning 80 so I ordered her birth month flowers (lilies, alstroemeria) in her trademark colors from Florence for the milestone party...Sadly they arrived as a note with refund instead but still made her chuckle through tears (the thought counts she said) when I confessed yet another foiled plan during chaotic times!   ', 'whenReviewed': '2020-10-01'}, {'id': '83e2cc8a-22f9-4d88-9db2-73c9e50e7521', 'userID': '', 'starsGiven': 3, 'review': ""The bouquet I ordered for my sister's baby shower was gorgeous. The florist captured the theme perfectly, and the flowers added a touch of elegance to the celebration. Highly recommended."", 'whenReviewed': '2022-01-27'}, {'id': '22a63bb3-56b5-4dd3-a779-4da338cfa845', 'userID': '', 'starsGiven': 2, 'review': ""The lilies I ordered were supposed to be white, but they arrived yellow and half-opened. Not pleased with the quality and the discrepancy in color. Won't be a repeat customer."", 'whenReviewed': '2022-02-26'}, {'id': 'b376ecdb-f3e1-4933-80b3-ea3c8353848e', 'userID': '', 'starsGiven': 1, 'review': ""I attempted to gift my sister elegant wrist corsages intricately folded from fine Italian silks for her secret surprise elopement she planned by candlelight at midnight in a historic seaside chapel she rented to finally marry her loving partner after years of wanting her dream celebration but having to halt planning repeatedly due to unforeseen chaos beyond their control...Sadly shipping issues meant they didn't arrive to embellish her long awaited special union but joining her soulmate brought profound joy!"", 'whenReviewed': '2021-06-25'}, {'id': 'c6366a16-141c-4679-b5f1-65235ca1bcee', 'userID': '', 'starsGiven': 3, 'review': ""I attempted to order elegant personalized folded paper bridal bouquets with intricate natural details from esteemed Florence artisans as surprises for my sister's passion project desert solstice elopement after her original wedding plans were repeatedly foiled by chaos...Sadly shipment barriers meant they never arrived for their impromptu legal union at sunrise we worked hard to recreate..."", 'whenReviewed': '2021-06-15'}, {'id': 'cc69a3e5-3609-4f17-88e9-c2d8e43de2f1', 'userID': '', 'starsGiven': 3, 'review': ""The custom bouquet for my sister's wedding was breathtaking. The florist captured the theme perfectly, and the flowers added a touch of elegance to the celebration. Highly recommended."", 'whenReviewed': '2021-10-29'}, {'id': '18edce4f-36a6-450c-8066-be0fbc72eb80', 'userID': '', 'starsGiven': 4, 'review': ""In a world inundated with choices, finding a product that not only meets but exceeds expectations is a rare and delightful occurrence. This particular item has managed to capture my heart with its flawless performance and elegant aesthetics. It's not just a purchase; it's an investment in joy and satisfaction. My commendations to Amazon for curating such a fantastic range of products that cater to the discerning consumer."", 'whenReviewed': '2021-03-08'}, {'id': 'b53d4d87-0331-4389-87a1-ad6455957d95', 'userID': '', 'starsGiven': 2, 'review': 'I ordered sympathy flowers for a friend, and the arrangement was tasteful and comforting. It conveyed the right sentiment during a difficult time. Grateful for the thoughtful service.', 'whenReviewed': '2022-03-02'}]",1
3d31615b-b7a9-473a-b23f-e2f8d7215f4f,"[{'id': 'cf1555a4-c953-4b2a-8440-a5913ea968b8', 'userID': '', 'starsGiven': 3, 'review': 'The flowers I received were stunning, but they wilted within a day. Despite following care instructions, the bouquet did not last as long as expected. A bit disappointed with the longevity.', 'whenReviewed': '2021-10-23'}, {'id': 'c7b35831-eaa7-443a-9382-b707445e0dd6', 'userID': '', 'starsGiven': 3, 'review': 'I ordered an assortment of lush green succulents online to create my own zen garden centerpiece for a recent dinner party. My amateur arranging skills had everyone fooled! So many asked if I had sourced them from a professional florist or wholesaler. Somehow my thrown together potted oasis elicited utter plant envy from guests!  ', 'whenReviewed': '2020-12-12'}, {'id': 'cf62a6ad-83e9-48ff-bc0e-580ecbc72182', 'userID': '', 'starsGiven': 4, 'review': 'The flowers I received were wilted and looked nothing like the picture online. The disappointment was palpable, and the customer service failed to address the issue adequately. A regrettable experience.', 'whenReviewed': '2021-11-24'}, {'id': '37f77b64-8b86-4fba-a584-424f5c0a9b00', 'userID': '', 'starsGiven': 5, 'review': ""I sent a cute little rose plant to my mom on Mother's Day and she loves watching it grow! A living gift that keeps on giving. And I don't have to worry if it was handled properly in shipping like cut flowers. Big win!"", 'whenReviewed': '2020-12-11'}, {'id': '3408ab28-8372-47e3-a852-bb0b536e6f76', 'userID': '', 'starsGiven': 1, 'review': ""Terrible experience. The flowers for my mom's birthday were delivered a day late, and they looked wilted. Ruined the surprise, and customer service was unhelpful. Won't be using this service again."", 'whenReviewed': '2020-09-10'}, {'id': '675417da-c592-488a-8b25-7c33fdda0dab', 'userID': '', 'starsGiven': 5, 'review': 'My best friend quarantining far away just secured her dream job so I ordered an exotic flower crown and bouquet painted in her favorite empowering colors with a sweet champagne bottle. Delivery updates stopped cold so sadly my celebratory surprise never made it to elicit her well deserved joy.', 'whenReviewed': '2021-06-06'}, {'id': '779c1f2d-5250-44dc-b3bb-4ae0a2334321', 'userID': '', 'starsGiven': 0, 'review': ""I ordered elegant brooches intricately folded from fine Italian flower petals for my Aunt's secret surprise backyard vow renewal celebrating enduring love on a significant milestone anniversary - meant to be an epic worldwide trip but she postponed due seemingly endless unforeseen chaos disrupting travel until finally her loving husband handcrafted an oasis at home instead to surprise her...Sadly shipping issues meant my gift didn't arrive for the occasion but she expressed profound gratitude for creative attempts at joy!"", 'whenReviewed': '2021-07-08'}, {'id': 'd8af1f42-f4f8-4f60-a68b-fdb45ad69e26', 'userID': '', 'starsGiven': 4, 'review': 'My cousin postponed her vineyard dream wedding so I ordered a bouquet replica from Florence so she would at least have heirloom blooms for her selfie session in her gown...Sadly, shipping snafus meant yet another important memento she was counting on never arrived thanks to ruthless bad luck and world chaos.', 'whenReviewed': '2020-10-21'}]",1
ca727967-5bf6-4c0b-bfba-41731dc5e34b,"[{'id': 'e05f87b7-094e-4276-a7c6-dc0d2762a469', 'userID': '', 'starsGiven': 3, 'review': 'Delighted with the flowers and service. The online selection was diverse, and the flowers were delivered on time. The bouquet exceeded expectations, and the recipient was thrilled. A fantastic floral experience.', 'whenReviewed': '2020-10-09'}, {'id': '67aa9365-b246-4b5e-a04c-124289788985', 'userID': '', 'starsGiven': 4, 'review': 'Absolutely delighted with the flowers I ordered! The bouquet was a vibrant mix of colors, and the arrangement was both artful and pleasing. It added a touch of elegance to the occasion, and the recipient was overjoyed.', 'whenReviewed': '2020-08-11'}, {'id': '437353ae-976e-434c-9ea7-c749af8cc46f', 'userID': '', 'starsGiven': 4, 'review': 'The flowers I ordered for a sympathy gesture were elegant and tasteful. The delivery was timely, and the arrangement conveyed the sentiment perfectly. Grateful for the thoughtful service during a difficult time.', 'whenReviewed': '2020-05-09'}, {'id': 'e19290b5-936c-46a2-8a70-272f7bfd8fd1', 'userID': '', 'starsGiven': 4, 'review': ""I ordered flowers for a friend's wedding, and they were a showstopper! The bouquet was elegant and sophisticated, reflecting the joyous occasion. It added a touch of class to the celebration."", 'whenReviewed': '2022-03-26'}, {'id': '0699b3f1-5e7f-420d-baab-1f50f6d0d125', 'userID': '', 'starsGiven': 4, 'review': ""I ordered elegant wrist corsages intricately folded from fine Italian flower petals for my Aunt's surprise milestone backyard vow renewal after years of hoping to take an extravagant worldwide trip then having to halt plans repeatedly due to unforeseen chaos until her loving husband constructed a backyard oasis instead to surprise her...Sadly shipping snafus meant my gift didn't arrive but they expressed profound gratitude to reconnect joyfully."", 'whenReviewed': '2020-08-05'}, {'id': '2c6199a9-7dfa-4ce7-9d48-887c7c495b25', 'userID': '', 'starsGiven': 0, 'review': 'I took a chance with ordering lushhydrangeas online for my dining room centerpiece because I justlove that beautiful blue shade. They arrived in perfectcondition with full blooms that lasted weeks! Everyone raved aboutthem at my party!', 'whenReviewed': '2021-12-07'}, {'id': '86cc5fbd-1721-4e9f-8af7-dbe7fc7b862e', 'userID': '', 'starsGiven': 5, 'review': 'I took a chance on a mixed bouquet for my kitchen table because the photo just enticed me too much to resist. And I was NOT disappointed by the bounty of blooms that arrived in a lovely ceramic vase too! An instant mood booster everytime I walk by now.', 'whenReviewed': '2020-06-03'}, {'id': '30675090-d175-47a6-82aa-3f98a48acc64', 'userID': '', 'starsGiven': 1, 'review': ""My best friend was recovering from major surgery and feeling lonely so while visiting family online I ordered him several 'Get Well Soon' themed flower deliveries to pop up while I was away. Based on his texts, each little surprise package elicited utter glee in that difficult time! Well worth it!     "", 'whenReviewed': '2020-09-18'}]",2
387eb564-1bd6-4005-9540-0399161f4bfd,"[{'id': '391bb95a-1f9e-4cc8-bebf-9f46bebdb04e', 'userID': '', 'starsGiven': 2, 'review': ""The bouquet I ordered for my anniversary was disappointing. The flowers were not as fresh as expected, and some looked wilted. It didn't create the romantic atmosphere I had envisioned for the special day."", 'whenReviewed': '2020-09-02'}, {'id': 'acda0152-dedb-4d69-bbd1-7562e1da0784', 'userID': '', 'starsGiven': 0, 'review': 'The flowers I received were wilted and looked nothing like the picture online. The disappointment was palpable, and the customer service failed to address the issue adequately. A regrettable experience.', 'whenReviewed': '2022-01-12'}, {'id': '6a73f119-e5c5-4777-9a14-d0a81bbf3ee7', 'userID': '', 'starsGiven': 5, 'review': 'The lavender and white anniversary bouquetfor my parents was splendid! Mom sent pics fromtheir anniversary dinner - the blooms made such an elegant centerpiece. So glad I couldcontribute from miles away!', 'whenReviewed': '2021-05-28'}, {'id': 'd9e073c5-7435-4bca-8942-d18ffb0d98db', 'userID': '', 'starsGiven': 1, 'review': ""I ordered a last minute floral centerpiece for my husband's big office gala celebration online in a panic and feared I would regret a rushed decision. However even my always hard to impress spouse showered me with praise over the elegant white calla lily and orchid arrangement artfully displayed! So my gamble paid off beautifully with gushing compliments weeks later still."", 'whenReviewed': '2022-04-06'}, {'id': '9cb6684a-fa97-481d-922e-26601476d53f', 'userID': '', 'starsGiven': 3, 'review': 'My order was delayed, and the flowers arrived a day later than expected. It was frustrating, especially for a time-sensitive occasion. The customer service team apologized and offered a discount on a future order, but the inconvenience was disappointing.', 'whenReviewed': '2021-11-28'}, {'id': '3646c238-4460-409f-b97d-a025728a6ff3', 'userID': '', 'starsGiven': 5, 'review': 'I ordered a simple green plant arrangement for my home office and was worried something fake might arrive. But the hardySUCCULENTS and an adorable cactus were REALand thriving! Months later I still smile at my cute little faux outdoor oasis while working long hours.', 'whenReviewed': '2022-04-08'}, {'id': '06834807-31d9-4dbb-93cc-0694059db30c', 'userID': '', 'starsGiven': 4, 'review': 'The flowers received were lackluster, and the arrangement was uninspired. Disappointed with the overall quality, and the customer service did little to rectify the situation. Will not be a returning customer.', 'whenReviewed': '2020-05-22'}, {'id': 'a56b8b4a-056d-4df3-806f-04dba2b0bcb1', 'userID': '', 'starsGiven': 2, 'review': ""The bouquet I ordered for my sister's baby shower was gorgeous. The florist captured the theme perfectly, and the flowers added a touch of elegance to the celebration. Highly recommended."", 'whenReviewed': '2020-12-31'}]",2
64591a6b-ae48-47f5-a3c7-cceb78ba94dc,"[{'id': '70f17921-211f-4aac-aae8-02b9f5dba967', 'userID': '', 'starsGiven': 0, 'review': 'Received a bouquet with wilted flowers, and the arrangement looked nothing like the picture online. Contacted customer service, and they offered a refund, but the overall experience was disappointing.', 'whenReviewed': '2020-08-20'}, {'id': '415a67f2-14cb-4269-ba1a-379d28830578', 'userID': '', 'starsGiven': 2, 'review': 'What a wonderful journey it has been with this product! The decision to make this purchase was driven by a desire for quality, and I can confidently say that it has met and exceeded my expectations. The features are not only innovative but also practical, adding genuine value to my daily life. Amazon has truly delivered a standout product, and I am grateful for the positive impact it has had on my overall satisfaction.', 'whenReviewed': '2022-04-14'}, {'id': '5acd0768-dd8d-47c8-92a7-8fdbe77b29eb', 'userID': '', 'starsGiven': 0, 'review': 'Efficient service and beautiful flowers. I ordered last-minute for a birthday, and the bouquet was delivered on time and looked amazing. The recipient was thrilled, and I was impressed with the seamless experience.', 'whenReviewed': '2022-03-15'}, {'id': 'e8c76d48-617f-44d0-9111-3c6e55ccc77d', 'userID': '', 'starsGiven': 4, 'review': 'I purchased ethically wild-foraged native Holy Land Star of Bethlehem bulbs from small scale resilient farmers tying Christmas lore to spiritual renewal for parishioners this Advent...Sadly the box contained only a rotten mush foretelling nothing ahead but another difficult year for my struggling ministry already teetering dangerously close to shutting our holy doors...', 'whenReviewed': '2021-07-19'}, {'id': '9d3e7093-95d5-4d49-8cd5-9bdf36b42761', 'userID': '', 'starsGiven': 3, 'review': 'The flowers were a bit pricey, but the premium quality justified the cost. The arrangement was exquisite, and the blooms lasted longer than expected. A luxurious treat for a special celebration.', 'whenReviewed': '2021-05-14'}, {'id': '50221dc7-2fb2-438a-a4f9-79afee38b982', 'userID': '', 'starsGiven': 2, 'review': 'Ordered flowers for my anniversary, and they were absolutely gorgeous! The bouquet was a romantic blend of colors, and the freshness lasted for days. Thank you for adding a touch of beauty to our celebration.', 'whenReviewed': '2021-08-06'}, {'id': '29c57cde-2f1a-4b5a-8506-bd7529c5647d', 'userID': '', 'starsGiven': 5, 'review': 'Delighted with the flowers and service. The online selection was diverse, and the flowers were delivered on time. The bouquet exceeded expectations, and the recipient was thrilled. A fantastic floral experience.', 'whenReviewed': '2021-05-25'}, {'id': '3c5397bf-0f87-4230-bd17-528264376f08', 'userID': '', 'starsGiven': 1, 'review': ""I ordered a sympathy plant arrangement that could be donated in my aunt's name after her memorial service to the cancer hospice facility that aided greatly in her final months. Apparently the staff and patients there greatly appreciated the burst of life and color during such difficult times."", 'whenReviewed': '2020-10-28'}]",3
